Video_URL,Video_Name
https://www.youtube.com/watch?v=hVN1DsIS5T8,DIY | Kinetic Sand/Cloud Dough (Perfect Recipe!)
https://www.youtube.com/watch?v=jWqNK-BGRz8,BEST Kid Friendly Slime! (NO Borax)
https://www.youtube.com/watch?v=k0C-K0VxMMk,DIY | Rainstick (Fun Kid’s Craft!)
https://www.youtube.com/watch?v=vFhHidshuH8,DIY | Water Toys!
https://www.youtube.com/watch?v=_uP5Snp37Ns,DIY | Homemade Gel Ice Packs (Best Recipe!)
https://www.youtube.com/watch?v=GizyCKSAIps,Butter Slime (Without Borax!)
https://www.youtube.com/watch?v=5wDZNKOFSMA,DIY | Kinetic Sand Play-Doh (Totally Amazing!)
https://www.youtube.com/watch?v=kXwCqrum5vQ,DIY | Back To School Supplies (So Cute & Easy!!)
https://www.youtube.com/watch?v=6loj2xakqJw,DIY | BEST Fidget Spinner (WITHOUT Bearings)
https://www.youtube.com/watch?v=XM2qyPem0TU,DIY | How to make the Perfect (Rainbow) Pom Pom!
https://www.youtube.com/watch?v=EK2wVin0EYQ,DIY | How to Make Potato Stamps
https://www.youtube.com/watch?v=PTu9IZcao0c,DIY | Fluffy Slime (Best Recipe!!)
https://www.youtube.com/watch?v=usvDnmJI9rs,DIY | 4th of July Party Decor
https://www.youtube.com/watch?v=RO5BxZdyYoc,DIY | Unicorn Bubble Bars (Solid Bubble Bath)
https://www.youtube.com/watch?v=_Vh7era0f00,DIY | Gemstone Soap
https://www.youtube.com/watch?v=ah1KkLuj2Ro,DIY | All Natural Healing Balm
https://www.youtube.com/watch?v=3-oWqeA_hc4,DIY | How to Make a Flower Crown (Real Flowers!)
https://www.youtube.com/watch?v=Iiv_ItyijYY,DIY I No Sew Hair Bow (Cheap & Easy!)
https://www.youtube.com/watch?v=Z6M9yRy8ngc,DIY | Amazing Lace Bowl (Just Add Sugar and Water!!)
https://www.youtube.com/watch?v=FTA566G0GCw,DIY | Ice Cream Bath Bombs
https://www.youtube.com/watch?v=Vb6g87nA6uk,DIY | How To Make Giant Bubbles!
https://www.youtube.com/watch?v=5S2-att9rj0,DIY | Best Peel Off Face Mask
https://www.youtube.com/watch?v=I9L4od646To,DIY | Magic Shrinking Charms!
https://www.youtube.com/watch?v=Ln680Z684Ew,DIY | Sun Catchers
https://www.youtube.com/watch?v=UEwYayoo88E,DIY | DIY Water Table
https://www.youtube.com/watch?v=MjxwGRSDxTY,DIY | How To Make A Fairy Garden
https://www.youtube.com/watch?v=F-MKQYhpeUM,DIY | Edible Playdough (Best Recipe!)
https://www.youtube.com/watch?v=TUC35lZb81c,DIY | How to Make Chalkboard Paint (Only 2 Ingredients!)
https://www.youtube.com/watch?v=aGHnoP_4wIQ,DIY | Marble Run
https://www.youtube.com/watch?v=b3R4rDi9TCE,DIY | Market Stand Tutorial
https://www.youtube.com/watch?v=BejdM0m0fIM,BROOKE | Calvin Update
https://www.youtube.com/watch?v=j4qh8BkT3JE,DIY | How To Make A Dreamcatcher
https://www.youtube.com/watch?v=M3S-Db8KQCI,DIY | How To Make Silly Putty (JUST LIKE THE ORIGINAL!!)
https://www.youtube.com/watch?v=neeKwkFebPk,DIY | Pumpkin Spice Room Spray
https://www.youtube.com/watch?v=EzdAMNl_mag,DIY | Shibori Tye Dye (SO Easy!!)
https://www.youtube.com/watch?v=NQyBhJPWkgM,DIY | Friendship Bracelet 2 Ways!
https://www.youtube.com/watch?v=0-GMEpxI2Q4,DIY | No Sew Jewelry Pouch
