Video_URL,Video_Name
https://www.youtube.com/watch?v=Bdc4CcW_w44,MY MORNING ROUTINE + HEALTHY BREAKFAST IDEA!
https://www.youtube.com/watch?v=W8Lc1I2NIDM,''
https://www.youtube.com/watch?v=80kH8SKP65o,10 Easy Healthy Morning Routine Habits (#3 is a must try!)
https://www.youtube.com/watch?v=QV7AKTXDxQQ,Lazy morning routine + Easy healthy pancake recipe!
https://www.youtube.com/watch?v=h4a4I7Qmyjc,MORNING ROUTINE (One hour realistic + minimal)
https://www.youtube.com/watch?v=sGy_8asrjls,"HEALTHY REALISTIC MORNING ROUTINE 2018 | breakfast, workout, skincare"
https://www.youtube.com/watch?v=w6letL23F_8,CHRISTMAS HOLIDAY MORNING ROUTINE | + Healthy Pumpkin Pancake/ Waffle Recipe!
https://www.youtube.com/watch?v=0H6uSw4CLZE,MORNING ROUTINE SKINCARE + healthy skin tips!
https://www.youtube.com/watch?v=pMXJ_rRggGk,"MORNING ROUTINE/ GET READY WITH ME 2018! (breakfast, skincare, makeup routine)"
https://www.youtube.com/watch?v=JOki1bs2XIA,EVERYDAY MAKEUP LOOK 2018 | quick + simple routine
https://www.youtube.com/watch?v=RXsq1mcmttE,NO-MAKEUP MAKEUP LOOK - Everyday Makeup Routine
https://www.youtube.com/watch?v=JZwMIw3rKMM,MY EVERYDAY MAKEUP LOOK - Everyday routine
