Video_URL,Video_Name
https://www.youtube.com/watch?v=GpUh7XkPrb8,What I Eat In A Day 1 | Plant Based & Workout Day
https://www.youtube.com/watch?v=jkg0E44-M28,What I Eat In a (Busy) Day 2 | Plant Based Meals on a Work Day!
https://www.youtube.com/watch?v=o_RL5n942Q0,TWICE BAKED PIZZA SWEET POTATO | What I Eat In A Day 4
https://www.youtube.com/watch?v=B6i9DAHAkqU,What I Eat In a Day 5 | Spring Slimdown
https://www.youtube.com/watch?v=VVSUyOp-WTI,HOW TO EAT VEGAN AT RESTAURANTS | What I Eat in a Day 6
https://www.youtube.com/watch?v=4mNDzh8iTEU,What I Eat In a Day 3 | Traveling to Vegas
https://www.youtube.com/watch?v=gYKyJPkLCqc,BACK TO SCHOOL | WHAT I EAT IN A DAY 7
https://www.youtube.com/watch?v=V3WOrVtyypk,VEGAN TRAVEL TIPS | What I Eat in A Day 8
https://www.youtube.com/watch?v=g7lPX3phLS0,WHAT I EAT IN DAY FOR HORMONE BALANCE
https://www.youtube.com/watch?v=vS-ShlF1gwc,WHAT I EAT IN A DAY 10 | Vegan Pizza 🍕
https://www.youtube.com/watch?v=xj00woaMLVc,What I Eat on a Cozy Fall Day (Vegan)
https://www.youtube.com/watch?v=AQIm6SBN4uI,"WHAT I EAT IN A DAY with CALORIES, NUTRIENTS, MACROS (Vegan) | 12 Days of Vlogmas Day 10"
https://www.youtube.com/watch?v=xXkJbtFKkt4,WHAT I EAT IN A WEEK | Plant-Based Budget Meals with Recipes!
https://www.youtube.com/watch?v=5TdCDJ6uz-c,What I Eat on a Winter Day❄️ (Vegan Comfort Food)
https://www.youtube.com/watch?v=X7NqgiOpcbw,HIGH FIBER DIET | Full Day of Eating Plant-Based Meals
https://www.youtube.com/watch?v=6_XTkhnjkc0,IRON RICH FOODS | What I Eat in a Day (Vegan)
https://www.youtube.com/watch?v=2JFg25em2lo,PCOS | What I Eat to Balance Hormones
https://www.youtube.com/watch?v=C19KeZPM6oU,HIGH CALCIUM VEGAN FOODS & what i eat in a day
https://www.youtube.com/watch?v=Nsdx_Ys34PU,WHAT I EAT IN A DAY for Healthy Weight Loss (Vegan)
https://www.youtube.com/watch?v=Ycb1bBjd4sk,WHAT I ATE AS A VEGAN NURSING STUDENT & Early Morning Routine
https://www.youtube.com/watch?v=rt9QVmT3y2Q,WHAT I EAT IN A WEEK as a vegan nursing student (for energy & weight loss)
