Video_URL,Video_Name
https://www.youtube.com/watch?v=KMrWKck0WmU,My Night Time Routine
https://www.youtube.com/watch?v=99qybznkl3o,My Current Skincare Routine
https://www.youtube.com/watch?v=vbFn10oIsss,PMS Relief Tips &Tricks
https://www.youtube.com/watch?v=q1XW8HGsOh8,Getting Ready Christmas Party
https://www.youtube.com/watch?v=zyHDg4_p9zc,Chatty Facial + Getting Ready
https://www.youtube.com/watch?v=nJaoyVXDNwQ,My Current Hair Routine
https://www.youtube.com/watch?v=nJaoyVXDNwQ,My Current Hair Routine
https://www.youtube.com/watch?v=bwODlF6pD4U,My 5 Minute Makeup Routine
https://www.youtube.com/watch?v=huFd9iEAeLQ,My Weekly Cleaning Routine + Cleaning Products I Love
https://www.youtube.com/watch?v=J_t_2GNEOCk,Night Time Routine (Pregnancy Edition)
https://www.youtube.com/watch?v=Kfw20pFs0Uc,Getting Ready (Updated Everyday Routine)
https://www.youtube.com/watch?v=Cvts-GIyp_0,Spring Pamper Routine
https://www.youtube.com/watch?v=fiEKofWmpUo,Mommy Morning Routine + Recipes We LOVE
https://www.youtube.com/watch?v=fJBMDMEYGhA,My Pregnancy Routine (DIY Belly Butter + Routine)
https://www.youtube.com/watch?v=9510fmsT8r4,Winter Pamper Routine
https://www.youtube.com/watch?v=kn812g2dwTY,Top Tips 4 Great Skin (Basic Skincare Tips + My Current Routine)
https://www.youtube.com/watch?v=nFJqbmEVEws,Healthy Bedtime Habits (My Routine + DIY)
https://www.youtube.com/watch?v=E3LKolooR2M,Weekend Night Beauty Routine
https://www.youtube.com/watch?v=cQCLMbOmEAU,"My Lazy Morning ""Routine"""
https://www.youtube.com/watch?v=z80LSrm582Q,AM & PM Beauty Routine + Fun PM Facial Treatments
https://www.youtube.com/watch?v=m10Vl9TXpec,Everyday Simple Makeup Routine | Rachel Talbott
https://www.youtube.com/watch?v=0yGzWZ1yDjo,Mommy Morning Routine | Rachel Talbott
https://www.youtube.com/watch?v=w_epj8VGWUI,Anti Wrinkle Facial Products + Lifestyle Tips | Rachel Talbott
https://www.youtube.com/watch?v=qmWxiHtDhqA,Full Body Skincare Routine (Dry Brushing & DIY Firming Coffee Scrub) | Rachel Talbott
https://www.youtube.com/watch?v=Xc3iK9HHzzc,Facial Tips for Acne Scarring & Hyper pigmentation | Rachel Talbott
https://www.youtube.com/watch?v=9tVG6n4kQyE,My Bath Time/Spa Night Routine | Rachel Talbott
https://www.youtube.com/watch?v=RePA4Li9OQ4,My Winter Hair Care Routine & DIY Hair Mask | Rachel Talbott
https://www.youtube.com/watch?v=4_OsCTfZ91Q,Get Un-Ready With Me (Skin & Hair Routine) | Rachel Talbott
https://www.youtube.com/watch?v=TlHYvAMImck,My Morning Routine | Rachel Talbott
https://www.youtube.com/watch?v=40JMiudVIbA,Head To Toe Pampering For a BIG Event | Rachel Talbott
https://www.youtube.com/watch?v=w4dc3SDA4uo,My Fitness Routine | Rachel Talbott
https://www.youtube.com/watch?v=WSFrKZPeV1Y,My Diet Routine | Rachel Talbott
https://www.youtube.com/watch?v=FumVyyZloGA,MY SHOWER & AFTER SHOWER ROUTINE | Rachel Talbott
https://www.youtube.com/watch?v=DXyFLbugxlA,My Daily Skincare & Foundation Routine | Rachel Talbott
https://www.youtube.com/watch?v=eqXzzgrNUV0,"My Travel Beauty Essentials (Skincare, Makeup, Hygiene) | Rachel Talbott"
https://www.youtube.com/watch?v=sbUGABAfVDk,My Packing Tips & Hotel Room Beauty Must-Haves | Rachel Talbott
https://www.youtube.com/watch?v=k8OPoWZbkaI,"Head-To-Toe Pampering (Hair, Skin, Lips) + GIVEAWAY | Rachel Talbott"
https://www.youtube.com/watch?v=IygPEdnlUIM,Bathroom Spring Cleaning/Tour + STILA GIVEAWAY | Rachel Talbott
https://www.youtube.com/watch?v=r1cytT5aZYw,Girls Night In-- Black Detox Facial (How To) | Rachel Talbott
https://www.youtube.com/watch?v=eG1y96yXfxE,My Morning Routine | Rachel Talbott
https://www.youtube.com/watch?v=Rd3uMBZyk5w,Secrets For Perfect Glowy Skin | Rachel Talbott
https://www.youtube.com/watch?v=XJaPLFQICxE,Private video
https://www.youtube.com/watch?v=ApZo3WqmOXY,Private video
https://www.youtube.com/watch?v=Oma67HpsUzc,Private video
https://www.youtube.com/watch?v=DEWsBtiq5Uk,Private video
https://www.youtube.com/watch?v=g_79erOsKCs,Private video
https://www.youtube.com/watch?v=Ddl2R03mjWI,Private video
https://www.youtube.com/watch?v=Tft6q_eAiXE,Bedtime Skin Routine | Rachel Talbott
https://www.youtube.com/watch?v=nEuLtn3mALw,Private video
https://www.youtube.com/watch?v=dEMw5O0cnao,Private video
https://www.youtube.com/watch?v=8lTiuT3hf2k,Private video
https://www.youtube.com/watch?v=k--8n4U1f0E,Private video
