Video_URL,Video_Name
https://www.youtube.com/watch?v=I8CoJeOZSuo,Outdoor Entertaining Tips + Ideas | Rachel Talbott
https://www.youtube.com/watch?v=ZIVDzuy2AC4,Last Minute Party Prep Tips + Tricks | Rachel Talbott
https://www.youtube.com/watch?v=NKDyxoVvFrk,Summer Party Tips + DIY | Rachel Talbott
https://www.youtube.com/watch?v=jIFxapuUrfA,Healthy Treat Snacks | Rachel Talbott
https://www.youtube.com/watch?v=d9X9ZZCLJrM,"My Garden, Plant & DIY Tips | Rachel Talbott"
https://www.youtube.com/watch?v=qmWxiHtDhqA,Full Body Skincare Routine (Dry Brushing & DIY Firming Coffee Scrub) | Rachel Talbott
https://www.youtube.com/watch?v=gbGt6QdOveA,Around The House (Easy & Casual Floral Arrangements & Centerpiece Ideas) | Rachel Talbott
https://www.youtube.com/watch?v=9ohuZuQFGk8,My Favorite Healthy Juice & Smoothie Recipes | Rachel Talbott
https://www.youtube.com/watch?v=RePA4Li9OQ4,My Winter Hair Care Routine & DIY Hair Mask | Rachel Talbott
https://www.youtube.com/watch?v=9DetB-0xJeM,"Getting Ready, Holiday Decor & Last Minute DIY Gifts | Rachel Talbott"
https://www.youtube.com/watch?v=EayutNh2WKU,"My 3 FAVE Healthy Meals (Breakfast, Lunch & Dinner) | Rachel Talbott"
https://www.youtube.com/watch?v=Am3v8CEP1a0,DIY Clothing Drawer Organization Tips | Rachel Talbott
https://www.youtube.com/watch?v=p1wpZLYY2xM,Private video
https://www.youtube.com/watch?v=HmspXHhgdG8,Private video
